,app_name,exercise_segment,facility,fromhost_ip,hostname,message,procid,programname,severity,timegenerated,timereported,timestamp
95595,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:26:28 | 200 #033[0m|    3.903022ms |       10.4.2.27 |  GET #033[0m    /api/v1/connection-check,25466.0,gendpoint,6,2019-03-19T11:26:28.590361+01:00,2019-03-19T11:26:28+01:00,1552991188590
99947,sudo,blue-team-4,10,10.7.104.45,desktop4,     kypo : problem with defaults entries ; TTY=unknown ; PWD=/ ;,,sudo,1,2019-03-19T11:27:30.339210+01:00,2019-03-19T11:27:30+01:00,1552991250339
80942,ocse,blue-team-1,3,10.7.101.27,ocs, [GIN] 2019/03/19 - 11:22:22 | 200 #033[0m|    8.650447ms |       10.0.3.32 |  GET #033[0m    /api/v1/stratum-one,22479.0,ocse,6,2019-03-19T11:22:22.278920+01:00,2019-03-19T11:22:22+01:00,1552990942278
175009,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:47:29+01:00"" level=info msg=""10.1.2.27 - global-app [19/Mar/2019:11:47:29 +0100] \""GET /api/v1/units/status\"" 200 1452 \""\"" \""Go-http-client/1.1\"" (8ms)"" clientIP=10.1.2.27 dataLength=1452 hostname=global-app latency=8 method=GET path=/api/v1/units/status referer= statusCode=200 userAgent=Go-http-client/1.1",25367.0,gendpoint,6,2019-03-19T11:47:29.862009+01:00,2019-03-19T11:47:29+01:00,1552992449862
45028,named,global,3,10.7.100.3,ns, client 4.122.55.4#39366 (govcert.ex): query: govcert.ex IN A + (4.122.55.3),4630.0,named,6,2019-03-19T11:12:30.342915+01:00,2019-03-19T11:12:30+01:00,1552990350342
123817,CRON,blue-team-4,10,10.7.104.26,db, pam_unix(cron:session): session opened for user root by (uid=0),18644.0,CRON,6,2019-03-19T11:34:01.316317+01:00,2019-03-19T11:34:01+01:00,1552991641316
90029,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:24:48+01:00"" level=info msg=""10.5.2.27 - global-app [19/Mar/2019:11:24:48 +0100] \""GET /api/v1/incidents\"" 200 2 \""\"" \""Go-http-client/1.1\"" (1ms)"" clientIP=10.5.2.27 dataLength=2 hostname=global-app latency=1 method=GET path=/api/v1/incidents referer= statusCode=200 userAgent=Go-http-client/1.1",25498.0,gendpoint,6,2019-03-19T11:24:48.946086+01:00,2019-03-19T11:24:48+01:00,1552991088946
103368,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:28:28+01:00"" level=info msg=""10.5.2.27 - global-app [19/Mar/2019:11:28:28 +0100] \""GET /api/v1/connection-check\"" 200 2 \""\"" \""Go-http-client/1.1\"" (4ms)"" clientIP=10.5.2.27 dataLength=2 hostname=global-app latency=4 method=GET path=/api/v1/connection-check referer= statusCode=200 userAgent=Go-http-client/1.1",25498.0,gendpoint,6,2019-03-19T11:28:28.901859+01:00,2019-03-19T11:28:28+01:00,1552991308901
198189,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:52:59 | 200 #033[0m|    1.046124ms |       10.1.2.27 |  GET #033[0m    /api/v1/incidents,25367.0,gendpoint,6,2019-03-19T11:52:59.690289+01:00,2019-03-19T11:52:59+01:00,1552992779690
152512,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:41:53 | 200 #033[0m|    7.571389ms |       10.6.2.27 |  GET #033[0m    /api/v1/units/status,25534.0,gendpoint,6,2019-03-19T11:41:53.213836+01:00,2019-03-19T11:41:53+01:00,1552992113213
55719,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:15:29 | 200 #033[0m|    3.528733ms |       10.6.2.27 |  GET #033[0m    /api/v1/connection-check,25534.0,gendpoint,6,2019-03-19T11:15:29.500169+01:00,2019-03-19T11:15:29+01:00,1552990529500
81337,ocse,blue-team-1,3,10.7.101.27,ocs, [GIN] 2019/03/19 - 11:22:27 | 200 #033[0m|    6.423105ms |       10.0.3.32 |  GET #033[0m    /api/v1/stratum-one,22479.0,ocse,6,2019-03-19T11:22:27.182771+01:00,2019-03-19T11:22:27+01:00,1552990947182
56135,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:15:34+01:00"" level=info msg=""10.1.2.27 - global-app [19/Mar/2019:11:15:34 +0100] \""GET /api/v1/connection-check\"" 200 2 \""\"" \""Go-http-client/1.1\"" (5ms)"" clientIP=10.1.2.27 dataLength=2 hostname=global-app latency=5 method=GET path=/api/v1/connection-check referer= statusCode=200 userAgent=Go-http-client/1.1",25367.0,gendpoint,6,2019-03-19T11:15:34.071059+01:00,2019-03-19T11:15:34+01:00,1552990534071
131451,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:36:05+01:00"" level=info msg=""10.4.2.27 - global-app [19/Mar/2019:11:36:05 +0100] \""GET /api/v1/units/status\"" 200 1452 \""\"" \""Go-http-client/1.1\"" (8ms)"" clientIP=10.4.2.27 dataLength=1452 hostname=global-app latency=8 method=GET path=/api/v1/units/status referer= statusCode=200 userAgent=Go-http-client/1.1",25466.0,gendpoint,6,2019-03-19T11:36:05.394550+01:00,2019-03-19T11:36:05+01:00,1552991765394
48783,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:13:33+01:00"" level=info msg=""10.3.2.27 - global-app [19/Mar/2019:11:13:33 +0100] \""GET /api/v1/connection-check\"" 200 2 \""\"" \""Go-http-client/1.1\"" (5ms)"" clientIP=10.3.2.27 dataLength=2 hostname=global-app latency=5 method=GET path=/api/v1/connection-check referer= statusCode=200 userAgent=Go-http-client/1.1",25433.0,gendpoint,6,2019-03-19T11:13:33.551364+01:00,2019-03-19T11:13:33+01:00,1552990413551
113264,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:31:11+01:00"" level=info msg=""10.2.2.27 - global-app [19/Mar/2019:11:31:11 +0100] \""GET /api/v1/incidents\"" 200 2 \""\"" \""Go-http-client/1.1\"" (2ms)"" clientIP=10.2.2.27 dataLength=2 hostname=global-app latency=2 method=GET path=/api/v1/incidents referer= statusCode=200 userAgent=Go-http-client/1.1",25400.0,gendpoint,6,2019-03-19T11:31:11.558833+01:00,2019-03-19T11:31:11+01:00,1552991471558
158835,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:43:31 | 200 #033[0m|    7.315909ms |       10.6.2.27 |  GET #033[0m    /api/v1/units/status,25534.0,gendpoint,6,2019-03-19T11:43:31.472486+01:00,2019-03-19T11:43:31+01:00,1552992211472
171680,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:46:38+01:00"" level=info msg=""10.3.2.27 - global-app [19/Mar/2019:11:46:38 +0100] \""GET /api/v1/connection-check\"" 200 2 \""\"" \""Go-http-client/1.1\"" (4ms)"" clientIP=10.3.2.27 dataLength=2 hostname=global-app latency=4 method=GET path=/api/v1/connection-check referer= statusCode=200 userAgent=Go-http-client/1.1",25433.0,gendpoint,6,2019-03-19T11:46:38.399980+01:00,2019-03-19T11:46:38+01:00,1552992398399
97038,sudo,blue-team-2,10,10.7.102.45,desktop4,     kypo : problem with defaults entries ; TTY=unknown ; PWD=/ ;,,sudo,1,2019-03-19T11:26:46.831115+01:00,2019-03-19T11:26:46+01:00,1552991206831
77540,sudo,blue-team-1,10,10.7.101.44,desktop3, pam_unix(sudo:session): session opened for user root by (uid=0),,sudo,6,2019-03-19T11:21:25.292462+01:00,2019-03-19T11:21:25+01:00,1552990885292
854,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:00:14 | 200 #033[0m|    6.224896ms |       10.5.2.27 |  GET #033[0m    /api/v1/units/status,25498.0,gendpoint,6,2019-03-19T11:00:14.988529+01:00,2019-03-19T11:00:14+01:00,1552989614988
126168,nagios3,blue-team-3,1,10.7.103.250,nagios-scoring-blue3, HOST NOTIFICATION: root;blue3-usr-desktop1-win10;DOWN;notify-host-by-email;PING CRITICAL - Packet loss = 100%,,nagios3,6,2019-03-19T11:34:42.013666+01:00,2019-03-19T11:34:42+01:00,1552991682013
31928,dhclient,blue-team-2,3,10.7.102.12,mail, DHCPREQUEST on eth1 to 10.7.96.97 port 67 (xid=0x6459eb58),544.0,dhclient,6,2019-03-19T11:08:54.228753+01:00,2019-03-19T10:09:27+01:00,1552990134228
65486,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:18:05 | 200 #033[0m|     6.36867ms |       10.6.2.27 |  GET #033[0m    /api/v1/units/status,25534.0,gendpoint,6,2019-03-19T11:18:05.409587+01:00,2019-03-19T11:18:05+01:00,1552990685409
184368,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:49:37+01:00"" level=info msg=""10.5.2.27 - global-app [19/Mar/2019:11:49:37 +0100] \""GET /api/v1/incidents\"" 200 2 \""\"" \""Go-http-client/1.1\"" (1ms)"" clientIP=10.5.2.27 dataLength=2 hostname=global-app latency=1 method=GET path=/api/v1/incidents referer= statusCode=200 userAgent=Go-http-client/1.1",25498.0,gendpoint,6,2019-03-19T11:49:37.830430+01:00,2019-03-19T11:49:37+01:00,1552992577830
97726,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:26:55 | 200 #033[0m|    3.925946ms |       10.6.2.27 |  GET #033[0m    /api/v1/connection-check,25534.0,gendpoint,6,2019-03-19T11:26:55.263943+01:00,2019-03-19T11:26:55+01:00,1552991215263
58722,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:16:20+01:00"" level=info msg=""10.3.2.27 - global-app [19/Mar/2019:11:16:20 +0100] \""GET /api/v1/units/status\"" 200 1452 \""\"" \""Go-http-client/1.1\"" (10ms)"" clientIP=10.3.2.27 dataLength=1452 hostname=global-app latency=10 method=GET path=/api/v1/units/status referer= statusCode=200 userAgent=Go-http-client/1.1",25433.0,gendpoint,6,2019-03-19T11:16:20.220242+01:00,2019-03-19T11:16:20+01:00,1552990580220
84706,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:23:27 | 200 #033[0m|    4.281157ms |       10.6.2.27 |  GET #033[0m    /api/v1/connection-check,25534.0,gendpoint,6,2019-03-19T11:23:27.862764+01:00,2019-03-19T11:23:27+01:00,1552991007862
