,ts,event,value
0,2021-01-01 00:00:00,0,2
1,2021-01-01 00:00:05,0,2
2,2021-01-01 00:00:10,0,4
3,2021-01-01 00:00:15,0,3
4,2021-01-01 00:00:20,0,5
5,2021-01-01 00:00:25,0,1
6,2021-01-01 00:00:30,0,1
7,2021-01-01 00:00:35,0,2
8,2021-01-01 00:00:40,0,8
9,2021-01-01 00:00:45,0,4
10,2021-01-01 00:00:50,0,2
11,2021-01-01 00:00:55,0,3
12,2021-01-01 00:01:00,0,1
13,2021-01-01 00:01:05,0,5
14,2021-01-01 00:01:10,0,4
15,2021-01-01 00:01:15,0,6
16,2021-01-01 00:01:20,0,1
17,2021-01-01 00:01:25,0,3
18,2021-01-01 00:01:30,0,9
19,2021-01-01 00:01:35,0,4
20,2021-01-01 00:01:40,0,2
21,2021-01-01 00:01:45,0,4
22,2021-01-01 00:01:50,0,1
23,2021-01-01 00:01:55,0,4
24,2021-01-01 00:02:00,0,6
25,2021-01-01 00:02:05,0,4
26,2021-01-01 00:02:10,0,5
27,2021-01-01 00:02:15,0,6
28,2021-01-01 00:02:20,0,2
29,2021-01-01 00:02:25,0,4
30,2021-01-01 00:02:30,0,2
31,2021-01-01 00:02:35,0,1
32,2021-01-01 00:02:40,0,2
33,2021-01-01 00:02:45,0,2
34,2021-01-01 00:02:50,0,6
35,2021-01-01 00:02:55,0,6
36,2021-01-01 00:03:00,0,3
37,2021-01-01 00:03:05,0,4
38,2021-01-01 00:03:10,0,3
39,2021-01-01 00:03:15,0,4
40,2021-01-01 00:03:20,0,5
41,2021-01-01 00:03:25,0,2
42,2021-01-01 00:03:30,0,8
43,2021-01-01 00:03:35,0,4
44,2021-01-01 00:03:40,0,5
45,2021-01-01 00:03:45,0,6
46,2021-01-01 00:03:50,0,4
47,2021-01-01 00:03:55,0,6
48,2021-01-01 00:04:00,0,9
49,2021-01-01 00:04:05,0,7
50,2021-01-01 00:04:10,0,5
51,2021-01-01 00:04:15,0,6
52,2021-01-01 00:04:20,0,6
53,2021-01-01 00:04:25,0,5
54,2021-01-01 00:04:30,0,2
55,2021-01-01 00:04:35,0,1
56,2021-01-01 00:04:40,0,2
57,2021-01-01 00:04:45,0,2
58,2021-01-01 00:04:50,0,3
59,2021-01-01 00:04:55,0,4
60,2021-01-01 00:05:00,0,4
61,2021-01-01 00:05:05,0,2
62,2021-01-01 00:05:10,0,5
63,2021-01-01 00:05:15,0,3
64,2021-01-01 00:05:20,0,3
65,2021-01-01 00:05:25,0,1
66,2021-01-01 00:05:30,0,3
67,2021-01-01 00:05:35,0,4
68,2021-01-01 00:05:40,0,2
69,2021-01-01 00:05:45,0,3
70,2021-01-01 00:05:50,0,2
71,2021-01-01 00:05:55,0,0
72,2021-01-01 00:06:00,0,3
73,2021-01-01 00:06:05,0,2
74,2021-01-01 00:06:10,0,5
75,2021-01-01 00:06:15,0,2
76,2021-01-01 00:06:20,0,1
77,2021-01-01 00:06:25,0,0
78,2021-01-01 00:06:30,0,0
79,2021-01-01 00:06:35,0,0
80,2021-01-01 00:06:40,0,1
81,2021-01-01 00:06:45,0,0
82,2021-01-01 00:06:50,0,1
83,2021-01-01 00:06:55,0,4
84,2021-01-01 00:07:00,0,1
85,2021-01-01 00:07:05,0,0
86,2021-01-01 00:07:10,0,0
