,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.54407,0.76643,-2.045,-1.705,0.54137,-1.2782,-1.3775,0.64599,0.61713,-1.3417,-1.8242,-1.7873,-2.0474,-1.5749,-1.9486,0.58188,-1.4451,0.72985,-1.7907,-1.6629,-1.3601,-1.5287,-2.0261,0.71571,0.60553,0.75321,-1.7803,-1.5183,0.76669,-1.3344,0.62501,0.54331,-2.036,-1.2243,0.78398,0.57841,0.61335,0.74869,0.53217,0.61052,-1.8483,-1.4038,-1.3795,-1.6987,-1.7436,0.50255,-1.6655,-1.8414,-1.3198,0.80108,-1.9101,-1.5845,0.77297,0.58358,-2.0421,0.66762,0.78282,0.85661,0.72225,0.66335,-1.3595,0.70337,-1.7077,-1.6413,-1.3468,0.7738,0.66387,0.58344,-1.9044,-2.0205,0.70279,-1.5196,0.65689,0.63666,-2.0291,-1.4992,0.57534,0.63167,-1.7672,-1.3201,0.58104,-1.5777,0.65504,-1.4516,-1.3528,-1.3653,-1.4081,0.63507,0.62993,0.64587,-1.7143,-1.5848,-1.6157,0.70157,-2.034,0.60653,0.74781,-1.2657,0.67424,0.76816
1,0.65786,0.62463,-2.0917,-1.7391,0.57191,-1.2707,-1.321,0.58009,0.62106,-1.3698,-1.8386,-1.7555,-2.1287,-1.59,-1.9753,0.60176,-1.4087,0.75271,-1.7716,-1.6722,-1.3974,-1.4891,-2.0491,0.74174,0.62157,0.79029,-1.7163,-1.5181,0.80119,-1.3788,0.65294,0.60806,-2.0491,-1.2334,0.83387,0.56453,0.62926,0.78568,0.58283,0.62126,-1.8147,-1.4296,-1.3664,-1.6869,-1.7014,0.59875,-1.6472,-1.8418,-1.3304,0.72292,-1.9539,-1.5599,0.81573,0.54549,-1.9671,0.69401,0.72935,0.85456,0.7574,0.59741,-1.3444,0.65676,-1.666,-1.6825,-1.324,0.72112,0.72943,0.62756,-1.9273,-2.0382,0.71425,-1.536,0.69002,0.62544,-2.06,-1.4798,0.6185,0.61998,-1.8182,-1.2874,0.60998,-1.4755,0.61669,-1.4782,-1.3688,-1.3628,-1.4434,0.58407,0.71386,0.61302,-1.7042,-1.5609,-1.6086,0.68037,-2.0233,0.62571,0.76297,-1.2381,0.6995,0.71678
2,0.61124,0.74225,-2.0776,-1.7257,0.56215,-1.2754,-1.3544,0.61606,0.66396,-1.3107,-1.8406,-1.7595,-2.0829,-1.548,-2.0344,0.61855,-1.4162,0.75345,-1.7997,-1.6782,-1.3654,-1.4944,-2.0288,0.65958,0.61402,0.7891,-1.7536,-1.5348,0.71873,-1.3967,0.62878,0.56914,-2.0842,-1.2662,0.81477,0.62171,0.58542,0.62773,0.63694,0.69426,-1.8514,-1.4083,-1.3859,-1.6882,-1.6794,0.60398,-1.5877,-1.8423,-1.313,0.71068,-1.9909,-1.5416,0.78399,0.58524,-2.0844,0.66119,0.70724,0.8446,0.72566,0.59374,-1.3105,0.66814,-1.6242,-1.6911,-1.4232,0.67065,0.69847,0.60859,-1.8903,-2.0314,0.66455,-1.5149,0.7148,0.61219,-2.0422,-1.4406,0.60618,0.66599,-1.7751,-1.3412,0.60007,-1.5211,0.58685,-1.4972,-1.4254,-1.399,-1.4325,0.62525,0.74079,0.64174,-1.7046,-1.6049,-1.6015,0.65098,-1.9996,0.63304,0.73012,-1.2569,0.72477,0.76064
3,0.54541,0.66822,-2.0335,-1.8017,0.52095,-1.244,-1.3812,0.61071,0.67887,-1.3615,-1.8113,-1.7479,-2.0998,-1.5734,-1.9924,0.56543,-1.4274,0.74973,-1.8419,-1.6849,-1.3518,-1.5244,-2.0704,0.78007,0.66047,0.82426,-1.7505,-1.5133,0.80056,-1.4348,0.5961,0.57423,-2.0528,-1.2376,0.79566,0.6155,0.5993,0.7114,0.61342,0.54682,-1.8198,-1.3778,-1.3444,-1.6147,-1.7054,0.54476,-1.6537,-1.8725,-1.3783,0.77766,-1.9308,-1.5231,0.75688,0.52224,-2.0779,0.71065,0.79435,0.83464,0.7464,0.53713,-1.3455,0.67821,-1.6307,-1.6735,-1.3206,0.75853,0.76965,0.54623,-1.9008,-2.0889,0.73158,-1.5133,0.68024,0.60401,-2.0894,-1.4737,0.6302,0.63892,-1.7663,-1.3342,0.65021,-1.5014,0.61521,-1.4821,-1.4175,-1.4306,-1.3975,0.60293,0.74534,0.61146,-1.7004,-1.5824,-1.6516,0.60163,-2.0264,0.62139,0.68065,-1.264,0.73695,0.77676
4,0.53216,0.76612,-1.9902,-1.7425,0.52749,-1.2965,-1.3892,0.6186,0.66611,-1.3929,-1.8369,-1.8049,-2.0667,-1.5917,-1.9599,0.55629,-1.4125,0.69961,-1.8312,-1.6917,-1.3455,-1.4984,-2.0838,0.60056,0.61585,0.73677,-1.7678,-1.5622,0.6508,-1.4382,0.62381,0.53729,-2.0295,-1.3047,0.74334,0.56894,0.61202,0.69333,0.52799,0.57983,-1.8351,-1.3713,-1.397,-1.664,-1.6929,0.64544,-1.6111,-1.8711,-1.3753,0.74823,-1.961,-1.5609,0.74142,0.56527,-2.0069,0.6802,0.69406,0.82758,0.70627,0.59738,-1.3091,0.6763,-1.6817,-1.7004,-1.4069,0.6622,0.69945,0.60228,-1.8974,-2.0372,0.69988,-1.4953,0.71156,0.61559,-2.1216,-1.5185,0.56995,0.59757,-1.7975,-1.2648,0.55309,-1.5429,0.5778,-1.5062,-1.377,-1.3421,-1.3957,0.60936,0.81992,0.59796,-1.7474,-1.5926,-1.6026,0.64692,-2.0404,0.60973,0.77179,-1.254,0.67882,0.7837
5,0.59301,0.73068,-2.0577,-1.7604,0.60404,-1.2244,-1.3638,0.61274,0.65335,-1.3285,-1.8369,-1.8112,-2.0413,-1.5905,-1.9953,0.58023,-1.4291,0.76977,-1.7855,-1.6034,-1.367,-1.4477,-2.0514,0.73386,0.58491,0.74028,-1.7283,-1.509,0.7895,-1.3797,0.58013,0.60513,-2.0184,-1.2369,0.69102,0.59011,0.60372,0.65931,0.53988,0.57683,-1.8972,-1.3173,-1.3736,-1.6812,-1.6945,0.60711,-1.599,-1.91,-1.3539,0.72752,-1.9739,-1.5318,0.79369,0.57791,-2.0381,0.70452,0.76346,0.82052,0.68685,0.63486,-1.3632,0.66304,-1.6556,-1.6885,-1.3706,0.66396,0.65463,0.57188,-1.9281,-2.0566,0.73241,-1.5167,0.72143,0.58542,-2.0992,-1.5232,0.60336,0.61517,-1.743,-1.3334,0.5852,-1.521,0.60723,-1.498,-1.405,-1.3523,-1.3732,0.62247,0.71114,0.60927,-1.6556,-1.5811,-1.6712,0.63171,-1.9961,0.56836,0.66561,-1.2249,0.66796,0.79063
6,0.59528,0.65511,-2.0128,-1.6916,0.54052,-1.2484,-1.3376,0.56405,0.61134,-1.3216,-1.8307,-1.7073,-2.0827,-1.5255,-1.944,0.55849,-1.4365,0.7328,-1.7787,-1.6954,-1.3982,-1.5462,-1.9991,0.71394,0.70101,0.74327,-1.7628,-1.5562,0.85728,-1.4072,0.62515,0.61859,-2.0432,-1.2587,0.84832,0.61128,0.60552,0.69906,0.54233,0.62397,-1.844,-1.4247,-1.3751,-1.6112,-1.7271,0.58415,-1.6259,-1.9091,-1.3826,0.74548,-1.9204,-1.5158,0.77339,0.51673,-2.0823,0.65133,0.67958,0.80836,0.79169,0.63241,-1.3175,0.75071,-1.613,-1.6918,-1.384,0.69395,0.70624,0.57688,-1.9169,-2.1462,0.68424,-1.5149,0.74114,0.56929,-2.0634,-1.4618,0.59728,0.64227,-1.7182,-1.3489,0.61013,-1.4685,0.63295,-1.5068,-1.4135,-1.3561,-1.4135,0.63859,0.67212,0.66363,-1.6339,-1.5696,-1.6624,0.64984,-2.0447,0.61511,0.73768,-1.2812,0.66676,0.82519
7,0.53828,0.72933,-2.051,-1.6875,0.58038,-1.216,-1.3967,0.62056,0.63122,-1.3424,-1.8467,-1.7574,-2.0646,-1.522,-1.955,0.59542,-1.4016,0.74327,-1.8321,-1.7123,-1.37,-1.5457,-2.0504,0.69927,0.62189,0.77976,-1.7367,-1.4951,0.82465,-1.3927,0.59629,0.57683,-2.0817,-1.2543,0.77547,0.60641,0.65201,0.74974,0.57481,0.54995,-1.8787,-1.3883,-1.3541,-1.6612,-1.6869,0.62635,-1.6224,-1.8463,-1.3176,0.74079,-1.9497,-1.4997,0.78366,0.65998,-2.0325,0.64771,0.76959,0.7962,0.76411,0.56634,-1.4018,0.73986,-1.6327,-1.7127,-1.3702,0.73383,0.73076,0.63755,-1.9547,-2.0781,0.70846,-1.5211,0.70288,0.48856,-2.1172,-1.5073,0.5902,0.69059,-1.7985,-1.3393,0.63793,-1.4977,0.64008,-1.475,-1.4164,-1.408,-1.3884,0.61205,0.75231,0.6065,-1.6365,-1.612,-1.6257,0.66798,-1.996,0.62784,0.76279,-1.2619,0.6297,0.69679
8,0.56343,0.72365,-2.0553,-1.7615,0.50058,-1.2532,-1.4016,0.53794,0.60697,-1.3413,-1.8126,-1.7533,-2.0499,-1.5186,-1.993,0.56619,-1.4291,0.73792,-1.8347,-1.6718,-1.3597,-1.4828,-2.0386,0.7063,0.63637,0.79825,-1.7536,-1.5734,0.7896,-1.369,0.63044,0.55192,-2.0476,-1.3069,0.73727,0.66223,0.62284,0.77047,0.58598,0.58905,-1.8487,-1.3913,-1.3452,-1.6808,-1.7,0.55664,-1.6027,-1.8452,-1.3763,0.73777,-1.8809,-1.5608,0.8175,0.53702,-2.0826,0.70441,0.71853,0.83314,0.70671,0.58404,-1.3208,0.71217,-1.7431,-1.725,-1.3899,0.70901,0.72663,0.60425,-1.9148,-2.0626,0.64578,-1.515,0.76717,0.63412,-2.1179,-1.4868,0.58409,0.66137,-1.7658,-1.3257,0.62702,-1.5252,0.64721,-1.5106,-1.4162,-1.3854,-1.3856,0.59466,0.76275,0.60767,-1.674,-1.5825,-1.6491,0.71523,-2.0683,0.61174,0.72582,-1.2845,0.61887,0.76291
9,0.59596,0.70282,-2.076,-1.7748,0.59781,-1.2904,-1.3268,0.63609,0.65021,-1.3523,-1.787,-1.8314,-2.0114,-1.5471,-1.9162,0.57915,-1.4041,0.74859,-1.7989,-1.6709,-1.3828,-1.5004,-2.0299,0.69612,0.61034,0.75173,-1.7078,-1.5719,0.77198,-1.3793,0.60121,0.57833,-2.0573,-1.2998,0.80757,0.63825,0.62689,0.71553,0.55036,0.63245,-1.8436,-1.3887,-1.3942,-1.6496,-1.6605,0.55222,-1.6022,-1.8442,-1.3504,0.73589,-1.9307,-1.5134,0.76313,0.61153,-2.011,0.64904,0.73169,0.7927,0.70564,0.61339,-1.3636,0.69971,-1.6587,-1.7184,-1.3582,0.69256,0.69078,0.62665,-1.8967,-2.0406,0.73115,-1.5573,0.72381,0.59285,-2.0998,-1.4725,0.63954,0.57326,-1.7946,-1.3167,0.61062,-1.5375,0.58729,-1.5633,-1.4302,-1.4018,-1.4229,0.65286,0.71031,0.634,-1.7286,-1.5907,-1.6774,0.70333,-2.0134,0.56173,0.73755,-1.2529,0.67119,0.73746
